"Section Name","Question Number","Spec Reference Number","Question Text","Answer Type","Correct Answer","Evidence Prompt","Evidence Validation","Sub-Question Of Number"
"G1","1.a","1.1","Do you have rules that govern FOSS license compliance of the Supplied Software distribution?","YES_NO","Yes","","",
"G1","1.b","1.1","Are these rules internally communicated?","YES_NO","Yes","","",
"G1","1.c","1.1.1","Are these rules documented?","YES_NO","Yes","","",
"G1","1.d","1.1.2","Is your Software Staff aware of the rules that govern FOSS license compliance of the Supplied Software distribution?","YES_NO","Yes","","",
"G1","1.e","1.1.2","Do you document, how you make your Software Staff aware of the existing procedures that govern FOSS license compliance of the Supplied Software distribution? ","YES_NO","Yes","","",
"G1","1.f","1.1.2","Do you make your software staff aware of the existence of the FOSS policy using at least one of the following methods?","SUBQUESTIONS","1","","",
"G1","1.f.i","","Training,","YES_NO","Yes","","","1.f"
"G1","1.f.ii","","Internal documentation,","YES_NO","Yes","","","1.f"
"G1","1.f.iii","","Other practical communication methods? ","YES_NO","Yes","","","1.f"
"G1","1.g","1.2.3","Have 85% or more of the Software Staff attended a FOSS training within the last 24 months?","YES_NO","Yes","","",
"G1","1.h","1.2.1","Does this training cover all of the following topics:","SUBQUESTIONS","5","","",
"G1","1.h.i","","Basics of IP law pertaining to FOSS and FOSS licenses,","YES_NO","Yes","","","1.h"
"G1","1.h.ii","","FOSS licensing concepts (including the concepts of permissive and copyleft licenses),","YES_NO","Yes","","","1.h"
"G1","1.h.iii","","FOSS project licensing models,","YES_NO","Yes","","","1.h"
"G1","1.h.iv","","Software Staff roles and responsibilities pertaining to FOSS compliance specifically and the FOSS policy in general,","YES_NO","Yes","","","1.h"
"G1","1.h.v","","Process for identifying, recording and/or tracking of FOSS components contained in Supplied Software,","YES_NO","Yes","","","1.h"
"G1","1.i","","Do you use one or more of the following FOSS course materials:","SUBQUESTIONS","1","","",
"G1","1.i.i","1.2.1","Slide decks,","YES_NO","Yes","","","1.i"
"G1","1.i.ii","","Online courses,","YES_NO","Yes","","","1.i"
"G1","1.i.iii","","Other training material?","YES_NO","Yes","","","1.i"
"G1","1.j","","Do you track the completion of the course for all Software Staff?","YES_NO","Yes","","",
"G1","1.k","1.2.2","Do you provide a written test to track the completion of the course for all Software Staff?","YES_NO","Any","","",
"G2","2.a","2.1","Have you assigned an individual or a group of persons responsible for managing internal FOSS compliance?","YES_NO","Any","","",
"G2","2.b","","Is the FOSS compliance management activity sufficiently resourced regarding","SUBQUESTIONS","2","","",
"G2","2.b.i","2.2","Time allocated to perform the role,","YES_NO","Yes","","","2.b"
"G2","2.b.ii","2.2","Budget allocated to the role?","YES_NO","Yes","","","2.b"
"G2","2.c","2.1.2","Have you assigned responsibilities to develop and maintain FOSS compliance policy and processes?","YES_NO","Yes","","",
